systemID,systemName
1,3DO Interactive Multiplayer
2,Arcade
3,Atari 2600
4,Atari 5200
5,Atari 7800
6,Atari Lynx
7,Atari Jaguar
8,Atari Jaguar CD
9,Bandai WonderSwan
10,Bandai WonderSwan Color
11,Coleco ColecoVision
12,GCE Vectrex
13,Intellivision
14,NEC PC Engine/TurboGrafx-16
15,NEC PC Engine CD/TurboGrafx-CD
16,NEC PC-FX
17,NEC SuperGrafx
18,Nintendo Famicom Disk System
19,Nintendo Game Boy
20,Nintendo Game Boy Advance
21,Nintendo Game Boy Color
22,Nintendo GameCube
23,Nintendo 64
24,Nintendo DS
25,Nintendo Entertainment System
26,Nintendo Super Nintendo Entertainment System
27,Nintendo Virtual Boy
28,Nintendo Wii
29,Sega 32X
30,Sega Game Gear
31,Sega Master System
32,Sega CD/Mega-CD
33,Sega Genesis/Mega Drive
34,Sega Saturn
35,Sega SG-1000
36,SNK Neo Geo Pocket
37,SNK Neo Geo Pocket Color
38,Sony PlayStation
39,Sony PlayStation Portable
40,Magnavox Odyssey2
41,Commodore 64
42,Microsoft MSX
43,Microsoft MSX2
